Kode Cabang Induk;Cabang Induk;NAMA PERUSAHAAN;JENIS PIPELINE;ESTIMASI PEKERJA
5;KC Bandung AA;LEMBAGA PEMASYARAKATAN BANCEUY BANDUNG;Pipeline konsumer;103
5;KC Bandung AA;Limijati;Pipeline konsumer;250
5;KC Bandung AA;MAKODIKLAT;Pipeline konsumer;793
5;KC Bandung AA;Orderfazz;Pipeline konsumer;500
5;KC Bandung AA;P3K Pengadilan Tata Usaha Negara Bandung;Pipeline konsumer;13
5;KC Bandung AA;Pengadilan Tata Usaha Negara Bandung;Pipeline konsumer;65
5;KC Bandung AA;PERUM BULOG KANTOR WILAYAH JAWA BARAT;Pipeline konsumer;190
5;KC Bandung AA;POLITEKNIK KESEHATAN BANDUNG;Pipeline konsumer;330
5;KC Bandung AA;POLITEKNIK PARIWISATA NHI BANDUNG;Pipeline konsumer;182
5;KC Bandung AA;POLITEKNIK STTT BANDUNG;Pipeline konsumer;112
5;KC Bandung AA;PT ANGKASA PURA INDONESIABANDARA INTERNATIONAL HUSEIN SASTRANEGARA;Pipeline konsumer;85
5;KC Bandung AA;PT ASKRINDO KANTOR CABANG BANDUNG;Pipeline konsumer;18
5;KC Bandung AA;PT HALEYORA POWERINDO CABANG JABAR;Pipeline konsumer;545
5;KC Bandung AA;PT INDONESIA COMNET PLUS (ICON PLUS)SBU REGIONAL JAWA BAGIAN BARAT;Pipeline konsumer;39
5;KC Bandung AA;PT TELKOMSELAREA JAWA BARAT;Pipeline konsumer;96
5;KC Bandung AA;PUSDIK AJUDAN JENDERAL DITAJENAD;Pipeline konsumer;212
5;KC Bandung AA;PUSDIK KEUANGAN DITKUAD;Pipeline konsumer;145
5;KC Bandung AA;PUSDIK KOWAD KODIKLATAD;Pipeline konsumer;93
5;KC Bandung AA;PUSDIK TOPOGRAFI DITTOPAD;Pipeline konsumer;129
5;KC Bandung AA;PUSDIKINTELKAM LEMDIKLAT POLRI;Pipeline konsumer;101
5;KC Bandung AA;PUSSENIF;Pipeline konsumer;720
5;KC Bandung AA;RRI BANDUNG;Pipeline konsumer;28
5;KC Bandung AA;RS Melinda;Pipeline konsumer;250
5;KC Bandung AA;RUMAH SAKIT UMUM DR HASAN SADIKIN BANDUNG;Pipeline konsumer;1.834
5;KC Bandung AA;RUTAN PEREMPUAN KELAS IIA BANDUNG;Pipeline konsumer;62
5;KC Bandung AA;SECAPA AD;Pipeline konsumer;714
5;KC Bandung AA;SEKRETARIAT DAERAH PROVINSI JAWA BARAT;Pipeline konsumer;76
5;KC Bandung AA;SESKOAD;Pipeline konsumer;610
5;KC Bandung AA;Turkish Aerospace;Pipeline konsumer;100
5;KC Bandung AA;WINGDIKTEK;Pipeline konsumer;486
5;KC Bandung AA;Voco Hotel;Pipeline Top 100;200
5;KC Bandung AA;Victoria Lung;Pipeline Top 100;144
405;KC Bandung Dago;BALAI AIR TANAH;Pipeline konsumer;55
405;KC Bandung Dago;BALAI BESAR PENGUJIAN MINERAL DAN BATUBARA TEKMIRA (Sudirman);Pipeline konsumer;129
405;KC Bandung Dago;BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI BAHAN DAN BARANG TEKNIK (sangkuriang);Pipeline konsumer;108
405;KC Bandung Dago;BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI LOGAM DAN MESIN (sangkuriang);Pipeline konsumer;119
405;KC Bandung Dago;BALAI HIDROLIKA DAN GEOTEKNIK KEAIRAN (dago);Pipeline konsumer;54
405;KC Bandung Dago;BALAI HIDROLOGI DAN LINGKUNGAN KEAIRAN (dago);Pipeline konsumer;59
405;KC Bandung Dago;DJP KPP MADYA 2;Pipeline konsumer;139
405;KC Bandung Dago;KANTOR REGIONAL III BADAN KEPEGAWAIAN NEGARA BANDUNG;Pipeline konsumer;94
405;KC Bandung Dago;Kementerian ESDM PUSAT VULKANOLOGI DAN MITIGASI BENCANA GEOLOGI;Pipeline konsumer;283
405;KC Bandung Dago;Kementerian ESDM Satker PATGL;Pipeline konsumer;113
405;KC Bandung Dago;Kementerian ESDM Satker Pengelolaan Sumberdaya Mineral dan Panas Bumi;Pipeline konsumer;140
405;KC Bandung Dago;MUSEUM GEOLOGI;Pipeline konsumer;33
405;KC Bandung Dago;POLITEKNIK KESEJAHTERAAN SOSIAL (POLTEKESOS) BANDUNG;Pipeline konsumer;126
405;KC Bandung Dago;POLITEKNIK MANUFAKTUR NEGERI BANDUNG;Pipeline konsumer;209
405;KC Bandung Dago;PT Perkebunan Nusantara I Regional 2;Pipeline konsumer;150
405;KC Bandung Dago;PT Sentinel;Pipeline konsumer;100
405;KC Bandung Dago;PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA APARATUR;Pipeline konsumer;67
405;KC Bandung Dago;PUSAT SURVEY  GEOLOGI;Pipeline konsumer;139
405;KC Bandung Dago;SEKRETARIAT BADAN GEOLOGI;Pipeline konsumer;53
405;KC Bandung Dago;UKRI (Universitas Kebangsaan RI);Pipeline konsumer;110
405;KC Bandung Dago;UNPAR;Pipeline konsumer;780
405;KC Bandung Dago;Balai Besar Survei dan Pemetaan Geologi Keluatan;Pipeline Top 100;137
286;KC Bandung Dewi Sartika;BALAI BAHAN DAN STRUKTUR BANGUNAN GEDUNG;Pipeline konsumer;30
286;KC Bandung Dewi Sartika;BALAI BESAR PENGAWAS OBAT DAN MAKANAN BANDUNG (BPOM);Pipeline konsumer;141
286;KC Bandung Dewi Sartika;BALAI KAWASAN PERMUKIMAN DAN PERUMAHAN;Pipeline konsumer;24
286;KC Bandung Dewi Sartika;BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I BANDUNG;Pipeline konsumer;25
286;KC Bandung Dewi Sartika;BALAI PENDIDIKAN DAN PELATIHAN PEMBANGUNAN KARAKTER SUMBER DAYA MANUSIA TRANSPORTASI;Pipeline konsumer;32
286;KC Bandung Dewi Sartika;BALAI PENGELOLA TRANSPORTASI DARAT JAWA BARAT;Pipeline konsumer;307
286;KC Bandung Dewi Sartika;BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI CIMANUK CITANDUY;Pipeline konsumer;40
286;KC Bandung Dewi Sartika;BALAI SAINS BANGUNAN;Pipeline konsumer;27
286;KC Bandung Dewi Sartika;BALAI TEKNIK PERKERETAAPIAN KELAS I BANDUNG;Pipeline konsumer;126
